Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Francis,LSPLASH,Dawn Of The Doors,Doors (Original Game Soundtrack) Vol. 1,Dark Ambient,3:54,41,7,28,86,3,11,6
Francis,Machinedrum,DDD,SXLND,Intelligent Dance Music,6:01,90,57,1,45,12,20,37
Francis,Taylor Swift,Delicate,Reputation,Pop,3:52,75,40,22,0,7,9,5
Francis,Caroline Polacheck,Door,Pang,Art Pop,5:22,68,44,22,0,4,26,25
Francis,Safety Trance,El Alma Que Te Trajo,Noches de Terror,Deconstructed Club,2:24,45,95,3,0,7,29,56
Francis,Arca,Electra Rex,KicK iii,Deconstructed Club,2:08,56,70,0,1,38,20,47
Francis,Slayyyter,Erotic Electronic,STAR****ER,Escape Room,2:23,80,76,4,0,11,15,34
Francis,Sabrina Carpenter,Feather,emails i can't send fwd:,Pop,3:05,79,69,9,0,3,9,84
Francis,SZA,Garden (Say It Like Dat),Ctrl,RnB,3:28,73,46,7,0,28,12,55
Francis,Charli XCX,Gone,Charli,Art Pop,4:06,91,44,4,0,7,7,66
Francis,Purple Disco Machine,Hands To The Sky,Exotica,House,4:29,76,81,0,0,20,33,85
Francis,Arca,Harness,&&&&&,Intelligent Dance Music,2:00,63,48,1,60,5,8,20
Francis,Beyonce,HEATED,RENAISSANCE,Pop,4:20,79,73,6,0,16,27,50
Francis,Jessie Ware,Hello Love,That! Feels Good,Pop Soul,4:42,49,75,12,0,5,11,38
Francis,Caroline Polacheck,Hopedrunk Everasking,"Desire, I Want To Turn Into You",Art Pop,3:19,26,24,94,0,4,38,8
Francis,Addison Rae,I got it bad,AR,Pop,2:52,66,82,2,0,3,38,30
Francis,Bill Wurtz,I'm Best Friends With My Own Front Door,IBFWMOFD - Single,Comedy Rock,2:21,83,49,13,0,17,71,77
Francis,SOPHIE,Immaterial,OIL OF EVERY PEARL'S UN-INSIDES,Deconstructed Club,3:52,78,72,12,1,8,33,83
Francis,Troye Sivan,In My Room,Something To Give Each Other,Pop,3:13,72,57,4,0,4,43,63
Francis,Arca,Intimate Flesh,KicK iii,Deconstructed Club,3:32,38,58,9,0,15,26,14
Francis,Diana Ross,It's My House,The Boss,Disco,4:34,76,67,29,0,7,8,87
Francis,Arca,Joya,KicK iii,Art Pop,3:55,38,53,25,0,4,37,36
Francis,Laufey,Just Like Chet,Everything I Know About Love,Classical Jazz,3:36,42,14,98,0,5,9,45
Francis,Arca,La Infinita,kiCK iiiii,Dark Ambient,4:49,17,19,96,88,4,10,13
Francis,BilliumMoto,Life Flashes Before Weeb Eyes,Gimme More,Rhythm Game,3:07,71,87,1,9,5,21,90
Francis,SZA,Love Galore (feat. Travis Scott),SOS,RnB,4:35,80,59,11,0,7,16,41
Francis,Arca,Mequetrefe,kICk i,Deconstructed Club,2:20,67,82,2,0,20,67,67
Francis,Slayyyter,Mine,Mine - Single,Escape Room,2:39,69,73,9,1,3,14,46
Francis,Ariana Grande,motive (feat. Doja Cat),Positions,Pop,2:47,79,74,7,0,7,17,66
Francis,Beyonce,MOVE (Feat. Grace Jones and Tems),RENAISSANCE,RnB,3:23,88,63,2,3,9,9,81
Francis,Arca,Mutant,Mutant,Intelligent Dance Music,7:27,24,81,21,80,8,19,6
Francis,SZA,Notice Me,SOS,RnB,2:40,72,68,28,0,12,11,78
Francis,Slayyyter,Out Of Time,STAR****ER,Escape Room,3:10,68,81,1,0,3,26,53
Francis,XI,Over The Top,World Fragments,Rhythm Game,4:21,38,91,0,11,7,38,11
Francis,Kylie Minogue,Padam Padam,Tension,Dance Pop,2:46,74,62,22,0,24,10,70
Francis,Caroline Polacheck,Pang,Pang,Art Pop,3:33,71,68,30,0,4,12,55
Francis,Caroline Polacheck,Parachute,Pang,Art Pop,3:32,20,17,80,0,3,8,4
Francis,Jessie Ware,Pearls,That! Feels Good,Pop Soul,4:03,63,82,1,0,12,21,72
Francis,Arca,Piel,Arca,Art Pop,4:07,17,17,59,74,4,9,4
Francis,Beyonce,PLASTIC OFF THE SOFA,RENAISSANCE,RnB,4:14,62,71,14,0,11,58,31
Francis,Arca,Prada,KICK ii,Deconstructed Club,2:43,62,71,10,0,3,24,35
Francis,SOPHIE,Pretending,OIL OF EVERY PEARL'S UN-INSIDES,Ambient,5:53,20,42,66,82,4,12,8
Francis,Caroline Polacheck,Pretty In Possible,"Desire, I Want To Turn Into You",Art Pop,3:36,71,62,11,0,4,11,25
Francis,Silentroom,Protoflicker,Rainbow Frontier,Progressive Trance,6:56,33,91,0,75,5,6,36
Francis,Beyonce,PURE/HONEY,RENAISSANCE,RnB,4:48,86,56,1,0,13,29,45
Francis,Kim Petras,Purgatory,TURN OFF THE LIGHT,Escape Room,2:08,79,66,36,92,4,7,11
Francis,Lady Gaga,Rain On Me (Arca Remix),Dawn Of Chromatica,Art Pop,4:23,64,64,33,0,7,34,31
Francis,Arca,Riquiquí(lxxxviii88);Bronze-Instance,Riquiqui;Bronze-Instances(1-100),AI (Deconstructed Club),1:45,43,92,5,25,51,36,13
Francis,Kim Petras,Sex Talk,Feed The Beast,Escape Room,2:35,88,68,6,0,22,3,86
Francis,Charli XCX,"Shake It (feat. Big Freedia, CupcakKe... )",Charli,Art Pop,4:35,58,61,5,0,54,9,42
Francis,Taylor Swift,Shake It Off,1989,Pop,3:39,65,79,6,0,17,15,94
